  9.5480786863719858E-001  1.8076852545120550E-001  4.3755491823212466E+001 -1.8774699401855469E+002
  9.5553398471465778E-001  1.7786406114136846E-001  4.4478170118591336E+001 -1.7910700710940603E+002
  9.5623709556208714E-001  1.7505161775165110E-001  4.5200805869442142E+001 -1.7046702020025737E+002
  9.5691827866070445E-001  1.7232688535718241E-001  4.5923400408000056E+001 -1.6182703329110871E+002
  9.5757854518387719E-001  1.6968581926449092E-001  4.6645955004821730E+001 -1.5318704638196004E+002
  9.5821884502378363E-001  1.6712461990486563E-001  4.7368470872537735E+001 -1.4454705947281138E+002
  9.5884007136739302E-001  1.6463971453042794E-001  4.8090949169323778E+001 -1.3590707256366272E+002
  9.5944306486823816E-001  1.6222774052704697E-001  4.8813391002115473E+001 -1.2726708565451406E+002
  9.6002861745504475E-001  1.5988553017982080E-001  4.9535797429589309E+001 -1.1862709874536539E+002
  9.6059747581358579E-001  1.5761009674565640E-001  5.0258169464929736E+001 -1.0998711183621673E+002
  9.6115034457402482E-001  1.5539862170390067E-001  5.0980508078400746E+001 -1.0134712492706807E+002
  9.6168788923241544E-001  1.5324844307033833E-001  5.1702814199738022E+001 -9.2707138017919405E+001
  9.6221073883188457E-001  1.5115704467246197E-001  5.2425088720376742E+001 -8.4067151108770730E+001
  9.6271948842625665E-001  1.4912204629497358E-001  5.3147332495528225E+001 -7.5427164199622084E+001
  9.6321470134644938E-001  1.4714119461420228E-001  5.3869546346117737E+001 -6.6787177290473423E+001
  9.6369691128782575E-001  1.4521235484869710E-001  5.4591731060594249E+001 -5.8147190381324748E+001
  9.6416662423479504E-001  1.4333350306081941E-001  5.5313887396622356E+001 -4.9507203472176087E+001
  9.6462432023728639E-001  1.4150271905085474E-001  5.6036016082665348E+001 -4.0867216563027426E+001
  9.6507045505222666E-001  1.3971817979109330E-001  5.6758117819467763E+001 -3.2227229653878766E+001
  9.6550546166185258E-001  1.3797815335258962E-001  5.7480193281444961E+001 -2.3587242744730105E+001
