  2.2596065681400688E-002  1.1298032840700344E-002  4.3755491823212466E+001 -1.9985139826711154E+000 -1.8774699401855469E+002
  2.2233007642671054E-002  1.1116503821335529E-002  4.4478170118591336E+001 -1.0604393230812164E+000 -1.7910700710940603E+002
  2.1881452218956390E-002  1.0940726109478193E-002  4.5200805869442142E+001 -1.2236466349131760E-001 -1.7046702020025737E+002
  2.1540860669647797E-002  1.0770430334823900E-002  4.5923400408000056E+001  8.1570999609858130E-001 -1.6182703329110871E+002
  2.1210727408061361E-002  1.0605363704030682E-002  4.6645955004821730E+001  1.7537846556884802E+000 -1.5318704638196004E+002
  2.0890577488108204E-002  1.0445288744054102E-002  4.7368470872537735E+001  2.6918593152783790E+000 -1.4454705947281138E+002
  2.0579964316303490E-002  1.0289982158151747E-002  4.8090949169323778E+001  3.6299339748682780E+000 -1.3590707256366272E+002
  2.0278467565880868E-002  1.0139233782940436E-002  4.8813391002115473E+001  4.5680086344581765E+000 -1.2726708565451406E+002
  1.9985691272477596E-002  9.9928456362387997E-003  4.9535797429589309E+001  5.5060832940480768E+000 -1.1862709874536539E+002
  1.9701262093207054E-002  9.8506310466035252E-003  5.0258169464929736E+001  6.4441579536379763E+000 -1.0998711183621673E+002
  1.9424827712987584E-002  9.7124138564937922E-003  5.0980508078400746E+001  7.3822326132278748E+000 -1.0134712492706807E+002
  1.9156055383792288E-002  9.5780276918961457E-003  5.1702814199738022E+001  8.3203072728177734E+000 -9.2707138017919405E+001
  1.8894630584057746E-002  9.4473152920288728E-003  5.2425088720376742E+001  9.2583819324076746E+000 -8.4067151108770730E+001
  1.8640255786871698E-002  9.3201278934358488E-003  5.3147332495528225E+001  1.0196456591997570E+001 -7.5427164199622084E+001
  1.8392649326775284E-002  9.1963246633876422E-003  5.3869546346117737E+001  1.1134531251587470E+001 -6.6787177290473423E+001
  1.8151544356087138E-002  9.0757721780435688E-003  5.4591731060594249E+001  1.2072605911177371E+001 -5.8147190381324748E+001
  1.7916687882602426E-002  8.9583439413012129E-003  5.5313887396622356E+001  1.3010680570767269E+001 -4.9507203472176087E+001
  1.7687839881356842E-002  8.8439199406784210E-003  5.6036016082665348E+001  1.3948755230357168E+001 -4.0867216563027426E+001
  1.7464772473886662E-002  8.7323862369433312E-003  5.6758117819467763E+001  1.4886829889947068E+001 -3.2227229653878766E+001
  1.7247269169073706E-002  8.6236345845368510E-003  5.7480193281444961E+001  1.5824904549536965E+001 -2.3587242744730105E+001
