ahi		\mathrm{AHI}
lpi141		\mathrm{LPI1}_{4,1}
lpi142		\mathrm{LPI1}_{4,2}
lpi143		\mathrm{LPI1}_{4,3}
lpi2		\mathrm{LPI2}
lpi22		\mathrm{LPI2}_2
lpi24		\mathrm{LPI2}_4
lpi26		\mathrm{LPI2}_6
lpi3		\mathrm{LPI3}
lpi32		\mathrm{LPI3}_2
lpi34		\mathrm{LPI3}_4
lpi36		\mathrm{LPI3}_6
mhi		\mathrm{MHI}
mhis		\mathrm{MHI}_\mathrm{s}
mhil		\mathrm{MHI}_\mathrm{l}
mhixs		\mathrm{MHI}_\mathrm{xs}
ncki		\mathrm{NCKI}
nckip		\mathrm{NCKI}_\mathrm{p}
nckim		\mathrm{NCKI}_\mathrm{m}
ncli		\mathrm{NCLI}
ncli1		\mathrm{NCLI}_1
ncli2		\mathrm{NCLI}_2
ncli3		\mathrm{NCLI}_3
ncli4		\mathrm{NCLI}_4
nfi1		\mathrm{NFI}_1
nfi2		\mathrm{NFI}_2
nfi3		\mathrm{NFI}_3
nfi3n		\mathrm{NFI}_{3\mathrm{n}}
nfi3p		\mathrm{NFI}_{3\mathrm{p}}
nfi4		\mathrm{NFI}_4
nfi4n		\mathrm{NFI}_{4\mathrm{n}}
nfi4p		\mathrm{NFI}_{4\mathrm{p}}
ni		\mathrm{NI}
nmlfi		\mathrm{NMLFI}
nmlfi1s		\mathrm{NMLFI1}_\mathrm{s}
nmlfi1l		\mathrm{NMLFI1}_\mathrm{l}
nmlfi11		\mathrm{NMLFI1}_1
nmlfi12		\mathrm{NMLFI1}_2
nmlfi13		\mathrm{NMLFI1}_3
nmlfi14		\mathrm{NMLFI1}_4
nmlfi15		\mathrm{NMLFI1}_5
nmlfi16		\mathrm{NMLFI1}_6
nmlfi3s		\mathrm{NMLFI3}_\mathrm{s}
nmlfi3l		\mathrm{NMLFI3}_\mathrm{l}
nmlfi31		\mathrm{NMLFI3}_1
nmlfi32		\mathrm{NMLFI3}_2
nmlfi33		\mathrm{NMLFI3}_3
oi		\mathrm{OI}
oripi		\mathrm{ORIPI}
osti		\mathrm{OSTI}
pai		\mathrm{PAI}
pais		\mathrm{PAI}_\mathrm{s}
pail		\mathrm{PAI}_\mathrm{l}
pli		\mathrm{PLI}
plip		\mathrm{PLI}_\mathrm{p}
psni		\mathrm{PSNI}
psnift1		\mathrm{PSNI}_{\mathrm{ft}1}
psnift2		\mathrm{PSNI}_{\mathrm{ft}2}
psnift3		\mathrm{PSNI}_{\mathrm{ft}3}
psnift4		\mathrm{PSNI}_{\mathrm{ft}4}
psnioA		\mathrm{PSNI}_{\mathrm{oA}}
psnioB		\mathrm{PSNI}_{\mathrm{oB}}
psnioC		\mathrm{PSNI}_{\mathrm{oC}}
rchi		\mathrm{RCHI}
rchio		\mathrm{RCHI}_\mathrm{o}
rcmi		\mathrm{RCMI}
rcpi		\mathrm{RCPI}
rcqi		\mathrm{RCQI}
rcqirad		\mathrm{RCQI}
rgi		\mathrm{RGI}
rgi116		\mathrm{RGI}_{116}
rgis		\mathrm{RGI}_\mathrm{s}
rgil		\mathrm{RGI}_\mathrm{l}
rpi1		\mathrm{R}p\mathrm{I}_1
rpi2		\mathrm{R}p\mathrm{I}_2
rpi3		\mathrm{R}p\mathrm{I}_3
rcipi1tune2	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=2}}
rcipi1tune2p	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=2+}}
rcipi1tune2m	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=2-}}
rcipi1tune4	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=4}}
rcipi1tune4p	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=4+}}
rcipi1tune4m	\mathrm{RCIPI1}_{\mathrm{tune}}^{p=4-}}
rcipi1		\mathrm{RCIPI1}
rcipi1m		\mathrm{RCIPI1}^{-}
rcipi2tune2	\mathrm{RCIPI2}_{\mathrm{tune}}^{p=2}}
rcipi2tune4	\mathrm{RCIPI2}_{\mathrm{tune}}^{p=4}}
rcipi22		\mathrm{RCIPI2}_2
rcipi23		\mathrm{RCIPI2}_3
rcipi24		\mathrm{RCIPI2}_4
rcipi25		\mathrm{RCIPI2}_5
rcipi26		\mathrm{RCIPI2}_6
rcipi2		\mathrm{RCIPI2}
rcipti		\mathrm{RCIPTI}
rclfi1pm	\mathrm{RCLFI}_{1+-}
rclfi1mm	\mathrm{RCLFI}_{1--}
rclfi1mp	\mathrm{RCLFI}_{1-+}
rclfi2pm	\mathrm{RCLFI}_{2+-}
rclfi2mm	\mathrm{RCLFI}_{2--}
rclfi2mp	\mathrm{RCLFI}_{2-+}
rclfi3pp	\mathrm{RCLFI}_{3++}
rclfi3pm	\mathrm{RCLFI}_{3+-}
rclfi3mp	\mathrm{RCLFI}_{3-+}
rclfi4p		\mathrm{RCLFI}_{4+}
rclfi4m		\mathrm{RCLFI}_{4-}
saii1		\mathrm{SAII}_1
saii1n		\mathrm{SAII}_{1\mathrm{n}}
saii1p		\mathrm{SAII}_{1\mathrm{p}}
saii1f		\mathrm{SAII}_{1\mathrm{f}}
saii2		\mathrm{SAII}_2
saii2n		\mathrm{SAII}_{2\mathrm{n}}
saii2p		\mathrm{SAII}_{2\mathrm{p}}
saii2f		\mathrm{SAII}_{2\mathrm{f}}
saiii1p		\mathrm{SAIII}_{1+}
saiii1m		\mathrm{SAIII}_{1-}
saiii1n		\mathrm{SAIII}_{1-}
saiii2p		\mathrm{SAIII}_{2+}
saiii2m		\mathrm{SAIII}_{2-}
saiii2n		\mathrm{SAIII}_{2-}
saiii3p		\mathrm{SAIII}_{3+}
saiii3m		\mathrm{SAIII}_{3-}
saiii3n		\mathrm{SAIII}_{3-}
saai		\mathrm{SAAI}
tmi		\mathrm{TMI}
sabi		\mathrm{SABI}
sabi13		\mathrm{SABI}_{13}
sabi12		\mathrm{SABI}_{12}
sabi1		\mathrm{SABI}_{1}
sabi32		\mathrm{SABI}_{32}
sabi2		\mathrm{SABI}_{2}
sati		\mathrm{SATI}
satione		\mathrm{SATI}_{1}
sati13		\mathrm{SATI}_{13}
sati12		\mathrm{SATI}_{12}
sati1		\mathrm{SATI}_{1}
sati2		\mathrm{SATI}_{2}
sati32		\mathrm{SATI}_{32}
sbi		\mathrm{SBI}
sbiamin		\mathrm{SBI}_{\alpha_{\min}}
sbialphamin	\mathrm{SBI}_{\alpha_{\min}}
sbki		\mathrm{SBKI}
sbkin		\mathrm{SBKI}_\mathrm{n}
sbkip		\mathrm{SBKI}_\mathrm{p}
sdi		\mathrm{SDI}
shi		\mathrm{SHI}
ssbi1		\mathrm{SSBI}_1
ssbi2		\mathrm{SSBI}_2
ssbi3		\mathrm{SSBI}_3
ssbi4		\mathrm{SSBI}_4
ssbi5		\mathrm{SSBI}_5
ssbi6		\mathrm{SSBI}_6
ssbi1f		\mathrm{SSBI}_{1\mathrm{f}}
ssbi2f		\mathrm{SSBI}_{2\mathrm{f}}
ssbi3f		\mathrm{SSBI}_{3\mathrm{f}}
ssbi4f		\mathrm{SSBI}_{4\mathrm{f}}
ssbi5f		\mathrm{SSBI}_{5\mathrm{f}}
ssbi6f		\mathrm{SSBI}_{6\mathrm{f}}
ti		\mathrm{TI}
tip		\mathrm{TI}
tin		\mathrm{TI}
tihalf		\mathrm{TI}_{1/2}
ti12		\mathrm{TI}_{1/2}
tiB1		\mathrm{TI}_{\mathrm{B}1}
tiB2		\mathrm{TI}_{\mathrm{B}2}
tiB3		\mathrm{TI}_{\mathrm{B}3}
tiD1		\mathrm{TI}_{\mathrm{D}1}
tiD2		\mathrm{TI}_{\mathrm{D}2}
tiD3		\mathrm{TI}_{\mathrm{D}3}
tiF1		\mathrm{TI}_{\mathrm{F}1}
tiF2		\mathrm{TI}_{\mathrm{F}2}
tiF3		\mathrm{TI}_{\mathrm{F}3}
twi		\mathrm{TWI}
twiA1		\mathrm{TWI}_{\mathrm{A}1}
twiA2		\mathrm{TWI}_{\mathrm{A}2}
twiB1		\mathrm{TWI}_{\mathrm{B}1}
twiB2		\mathrm{TWI}_{\mathrm{B}2}
vfmi		\mathrm{VFMI}
vfmis		\mathrm{VFMI}_\mathrm{s}
vhi		\mathrm{VHI}
vhihalf		\mathrm{VHI}
vhione		\mathrm{VHI}
vhithreehalf	\mathrm{VHI}
vhitwo		\mathrm{VHI}
vhithree	\mathrm{VHI}
vhil1		\mathrm{VHI}_{\mathrm{l}1}
vhi12		\mathrm{VHI}_{1/2}
vhi1		\mathrm{VHI}_{1}
vhi2		\mathrm{VHI}_{2}
vhi3		\mathrm{VHI}_{3}
vhi4		\mathrm{VHI}_{4}
wri		\mathrm{WRI}
wrig		\mathrm{WRI}_\mathrm{g}
wrio		\mathrm{WRI}_\mathrm{o}
